+------------------------------------------------------------+----------------+------------------+--------------+--------------+--------------+
| file                                                       | stink_score    | churn_times_cost | churn        | cost         | coverage     |
+------------------------------------------------------------+----------------+------------------+--------------+--------------+--------------+
| app/controllers/broker_responses_controller.rb             | 1939.92        | 19.4             | 1            | 19.4         | 0.0          |
| app/controllers/responses_controller.rb                    | 1912.96        | 19.13            | 1            | 19.13        | 0.0          |
| app/helpers/application_helper.rb                          | 1642.56        | 279.24           | 17           | 16.43        | 0.0          |
| app/controllers/broker_requests_controller.rb              | 1012.25        | 35.52            | 2            | 17.76        | 43.84        |
| app/mailers/user_mailer.rb                                 | 601.56         | 51.75            | 8            | 6.47         | 7.14         |
| app/controllers/broker_offers_controller.rb                | 549.08         | 171.59           | 10           | 17.16        | 68.83        |
| app/controllers/requests_controller.rb                     | 525.69         | 33.92            | 2            | 16.96        | 69.33        |
| app/models/supplier.rb                                     | 483.8          | 72.57            | 15           | 4.84         | 0.0          |
| app/models/customer.rb                                     | 464.6          | 60.4             | 13           | 4.65         | 0.0          |
| app/controllers/broker_orders_controller.rb                | 447.77         | 97.34            | 5            | 19.47        | 77.78        |
| app/policies/response_policy.rb                            | 408.28         | 4.08             | 1            | 4.08         | 0.0          |
| app/controllers/customers/registrations_controller.rb      | 385.82         | 135.04           | 7            | 19.29        | 80.0         |
| app/controllers/suppliers/registrations_controller.rb      | 289.37         | 231.49           | 12           | 19.29        | 85.45        |
| app/controllers/offers_controller.rb                       | 268.62         | 376.07           | 21           | 17.91        | 85.71        |
| app/controllers/suppliers_controller.rb                    | 167.99         | 316.22           | 32           | 9.88         | 83.33        |
| app/controllers/orders_controller.rb                       | 133.76         | 343.95           | 18           | 19.11        | 93.44        |
| app/policies/concrete_product_policy.rb                    | 128.24         | 3.85             | 3            | 1.28         | 0.0          |
| app/controllers/customers_controller.rb                    | 113.68         | 227.37           | 22           | 10.33        | 89.66        |
| app/policies/request_policy.rb                             | 81.66          | 4.08             | 1            | 4.08         | 80.77        |
| app/controllers/products_controller.rb                     | 73.55          | 19.19            | 6            | 3.2          | 77.78        |
| app/policies/offer_policy.rb                               | 65.32          | 4.08             | 1            | 4.08         | 84.62        |
| app/controllers/brokers_controller.rb                      | 64.61          | 58.15            | 9            | 6.46         | 90.24        |
| app/controllers/concrete_products_controller.rb            | 60.15          | 5.73             | 2            | 2.86         | 79.49        |
| app/services/cloudfront_denier.rb                          | 47.28          | 0.47             | 1            | 0.47         | 0.0          |
| app/controllers/application_controller.rb                  | 41.55          | 114.26           | 22           | 5.19         | 92.86        |
| app/jobs/warn_interested_job.rb                            | 35.3           | 3.15             | 5            | 0.63         | 44.44        |
| app/policies/application_policy.rb                         | 32.8           | 0.33             | 1            | 0.33         | 0.0          |
| app/policies/order_policy.rb                               | 27.44          | 2.29             | 1            | 2.29         | 88.46        |
| app/helpers/devise_helper.rb                               | 23.56          | 0.24             | 1            | 0.24         | 0.0          |
| app/policies/supplier_policy.rb                            | 20.93          | 6.98             | 4            | 1.74         | 88.46        |
| app/policies/product_policy.rb                             | 18.9           | 2.22             | 2            | 1.11         | 83.33        |
| app/policies/customer_policy.rb                            | 17.03          | 4.26             | 3            | 1.42         | 88.46        |
| app/policies/broker_policy.rb                              | 15.07          | 2.51             | 2            | 1.26         | 88.46        |
| app/controllers/welcome_controller.rb                      | 14.58          | 1.09             | 3            | 0.36         | 60.0         |
| app/controllers/user_products_controller.rb                | 13.53          | 21.64            | 8            | 2.71         | 95.83        |
| app/models/response.rb                                     | 13.29          | 0.89             | 1            | 0.89         | 85.19        |
| app/models/request.rb                                      | 5.49           | 1.1              | 2            | 0.55         | 90.48        |
| app/jobs/send_customer_request_approval_job.rb             | 5.2            | 0.21             | 1            | 0.21         | 75.0         |
| app/jobs/send_supplier_response_approval_job.rb            | 3.6            | 0.14             | 1            | 0.14         | 75.0         |
| app/jobs/send_user_approval_job.rb                         | 3.6            | 0.14             | 1            | 0.14         | 75.0         |
| app/jobs/send_supplier_offer_approval_job.rb               | 3.6            | 0.29             | 2            | 0.14         | 75.0         |
| app/jobs/send_customer_order_approval_job.rb               | 3.6            | 0.14             | 1            | 0.14         | 75.0         |
| app/controllers/brokers/sessions_controller.rb             | 2.46           | 0.18             | 2            | 0.09         | 72.73        |
| app/controllers/customers/sessions_controller.rb           | 2.46           | 0.18             | 2            | 0.09         | 72.73        |
| app/controllers/suppliers/sessions_controller.rb           | 2.46           | 0.18             | 2            | 0.09         | 72.73        |
| app/models/order.rb                                        | 1.4            | 12.58            | 9            | 1.4          | 100.0        |
| app/models/offer.rb                                        | 0.55           | 8.79             | 16           | 0.55         | 100.0        |
| app/models/concerns/has_concrete_product_concern.rb        | 0.53           | 0.53             | 1            | 0.53         | 100.0        |
| app/models/product.rb                                      | 0.44           | 3.08             | 7            | 0.44         | 100.0        |
| app/models/user_concrete_product.rb                        | 0.44           | 0.44             | 1            | 0.44         | 100.0        |
